"name","Role","Team"
"Akeal Hosein","bowler",""
"Manan Vohra","batsman",""
"Billy Stanlake","bowler",""
"Ottneil Baartman","bowler",""
"Barinder Sran","bowler",""
"Taskin Ahmed","bowler",""
"Dushmantha Chameera","bowler",""
"Nikhil Naik","wk/batsman",""
"Sam Hain","batsman",""
"Ish Sodhi","bowler",""
"Fareed Ahmad","bowler",""
"Luke Wood","bowler",""
"Nihal Ullal","wk/batsman",""
"Lukman Meriwala","bowler",""
"Gaurav Yadav","bowler",""
"Dhruv Shorey","batsman",""
"Sandeep Warrier","bowler",""
"Corbin Bosch","all-rounder",""
"Duan Jansen","all-rounder",""
"Brydon Carse","all-rounder",""
"Vishnu Solanki","wk/batsman",""
"Matthew Short","all-rounder",""
"Kyle Jamieson","bowler",""
"Saurabh Kumar","all-rounder",""
"Kusal Mendis","wk/batsman",""
"Sarfaraz Khan","all-rounder",""
"George Garton","all-rounder",""
"Atit Sheth","all-rounder",""
"Josh Inglis","wk/batsman",""
"Phil Salt","wk/batsman",""
"Fabian Allen","all-rounder",""
"Brandon King","batsman",""
"Keemo Paul","all-rounder",""
"Ben Dwarshuis","bowler",""
"Wiaan Mulder","all-rounder",""
"Abhimanyu Easwaran","batsman",""
"Writtick Chatterjee","all-rounder",""
"Naushad Shaikh","batsman",""
"Sumit Ghadigaonkar","wk/batsman",""
"Pulkit Narang","bowler",""
"Virat Singh","batsman",""
"Akash Vashisht","all-rounder",""
"Saransh Jain","all-rounder",""
"Basil Thampi","bowler",""
"KC Cariappa","bowler",""
"Krishnan Shrijith","wk/batsman",""
"Charith Asalanka","all-rounder",""
"Lahiru Kumara","bowler",""
"Himmat Singh","batsman",""
"Richard Ngarava","bowler",""
"Shubham Pundir","all-rounder",""
"Odean Smith","all-rounder",""
"Salman Nizar","batsman",""
"Daniel Sams","all-rounder",""
"Blessing Muzarabani","bowler",""
"Anmol Malhotra","wk/batsman",""
"George Scrimshaw","bowler",""
"Obed McCoy","bowler",""
"Qais Ahmad","all-rounder",""
